N,R0S0C0,R0S0C1,R0S0C2,R0S0C3,R0S0C4,R0S0C5,R0S1C0,R0S1C1,R0S1C2,R0S1C3,R0S1C4,R0S1C5,R0S2C0,R0S2C1,R0S2C2,R0S2C3,R0S2C4,R0S2C5,R1S0C0,R1S0C1,R1S0C2,R1S0C3,R1S0C4,R1S0C5,R1S1C0,R1S1C1,R1S1C2,R1S1C3,R1S1C4,R1S1C5,R1S2C0,R1S2C1,R1S2C2,R1S2C3,R1S2C4,R1S2C5,R2S0C0,R2S0C1,R2S0C2,R2S0C3,R2S0C4,R2S0C5,R2S1C0,R2S1C1,R2S1C2,R2S1C3,R2S1C4,R2S1C5,R2S2C0,R2S2C1,R2S2C2,R2S2C3,R2S2C4,R2S2C5,R3S0C0,R3S0C1,R3S0C2,R3S0C3,R3S0C4,R3S0C5,R3S1C0,R3S1C1,R3S1C2,R3S1C3,R3S1C4,R3S1C5,R3S2C0,R3S2C1,R3S2C2,R3S2C3,R3S2C4,R3S2C5,R4S0C0,R4S0C1,R4S0C2,R4S0C3,R4S0C4,R4S0C5,R4S1C0,R4S1C1,R4S1C2,R4S1C3,R4S1C4,R4S1C5,R4S2C0,R4S2C1,R4S2C2,R4S2C3,R4S2C4,R4S2C5,R5S0C0,R5S0C1,R5S0C2,R5S0C3,R5S0C4,R5S0C5,R5S1C0,R5S1C1,R5S1C2,R5S1C3,R5S1C4,R5S1C5,R5S2C0,R5S2C1,R5S2C2,R5S2C3,R5S2C4,R5S2C5,R6S0C0,R6S0C1,R6S0C2,R6S0C3,R6S0C4,R6S0C5,R6S1C0,R6S1C1,R6S1C2,R6S1C3,R6S1C4,R6S1C5,R6S2C0,R6S2C1,R6S2C2,R6S2C3,R6S2C4,R6S2C5
0,46290,47155,53336,53450,54871,54872,5553,5957,9583,9668,10726,10727,847,974,2887,2940,3682,3683,46212,46950,52234,52363,53836,53838,5637,5997,9141,9221,10259,10261,927,1053,2719,2773,3492,3493,46757,47440,53396,53512,54865,54873,5711,6056,9572,9663,10666,10675,916,1046,2845,2897,3583,3586,45749,46381,51587,51705,53081,53086,5669,5966,9045,9126,10129,10132,938,1046,2630,2680,3350,3353,64755,65427,73279,73396,75239,75257,6365,6619,10173,10232,11285,11298,755,814,2094,2114,2643,2648,78496,79232,88097,88183,90137,90143,9027,9350,14010,14061,15329,15333,1352,1467,3562,3588,4335,4336,86328,87257,96107,96260,98267,98281,10897,11364,16412,16511,17916,17924,1949,2125,4681,4737,5648,5654
1,7785,7091,1520,1409,5,4,3607,3471,1079,1001,5,4,1211,1299,700,660,4,3,7012,6398,1583,1461,9,7,3347,3181,1049,981,5,3,1203,1262,667,626,5,4,7429,6871,1457,1346,14,6,3541,3373,1037,956,12,3,1230,1260,652,616,7,5,6731,6213,1470,1361,9,4,3228,3118,1025,953,6,3,1158,1208,645,605,5,2,9684,9135,1944,1836,30,12,3600,3491,1059,1012,21,9,935,958,505,490,7,2,10787,10173,2025,1945,16,11,4633,4491,1258,1216,7,4,1540,1516,692,673,4,3,11095,10310,2152,2011,26,12,5293,5030,1436,1357,16,8,1998,2011,867,826,11,6
2,753,595,20,17,0,0,1195,1020,66,60,0,0,926,849,92,80,0,0,591,474,28,21,0,0,986,860,71,60,0,0,799,723,101,88,0,0,651,543,26,22,1,1,1085,990,68,59,1,1,842,780,83,71,2,1,574,471,32,23,0,0,992,860,62,54,0,0,761,686,71,64,0,0,774,666,45,36,0,0,1061,962,70,58,1,0,575,548,44,39,0,0,817,708,31,26,1,0,1339,1212,67,59,1,0,872,861,74,68,0,0,818,686,32,22,0,0,1403,1264,78,61,0,0,1073,992,98,90,1,0
3,47,34,0,0,0,0,301,234,3,2,0,0,420,367,7,6,0,0,28,22,0,0,0,0,246,197,2,1,0,0,380,320,10,10,0,0,38,24,1,0,0,0,274,209,2,1,0,0,379,339,11,8,0,0,36,25,1,1,0,0,209,169,2,1,0,0,337,290,8,6,0,0,52,38,1,1,0,0,243,211,4,5,0,0,274,237,5,5,0,0,51,39,1,0,0,0,280,241,2,1,0,0,368,329,10,10,0,0,49,37,2,0,0,0,269,228,6,3,0,0,433,372,13,7,0,0
4,1,1,0,0,0,0,59,41,0,0,0,0,202,144,0,0,0,0,2,1,0,0,0,0,43,25,1,1,0,0,130,102,0,0,0,0,4,2,0,0,0,0,48,43,0,0,0,0,150,120,1,0,0,0,0,0,0,0,0,0,28,17,0,1,0,0,116,93,1,0,0,0,4,3,0,0,0,0,29,16,0,0,0,0,77,68,2,2,0,0,3,2,0,0,0,0,44,35,0,0,0,0,141,110,1,0,0,0,3,3,0,0,0,0,62,41,0,0,0,0,154,120,1,0,0,0
5,0,0,0,0,0,0,14,7,0,0,0,0,58,42,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,39,26,0,0,0,0,1,0,0,0,0,0,19,8,0,0,0,0,55,33,0,0,0,0,0,0,0,0,0,0,8,5,1,0,0,0,35,26,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,23,17,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,52,43,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,38,30,0,0,0,0
6,0,0,0,0,0,0,2,1,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
